#基本
4E00	一	{一}
4E01	丁	{丁}
4E02	丂	{丂}
4E03	七	{七}
4E04	丄	{丄}
4E05	丅	{丅}
4E06	丆	{丆}
4E07	万	{一}{㇯万一}
4E08	丈	{𠂇}{乀}
4E09	三	{三}
4E0A	上	{上}
4E0B	下	{丅}{丶}
4E0C	丌	{丌}
4E0D	不	{不}
4E0E	与	{一}{㇉}{一}
4E0F	丏	{丅}{𠃊}{𠃌}
4E10	丐	{丅}{一}{㇉}
4E11	丑	{𠃍}{土}
4E12	丒	{刀}{亠}
4E13	专	{二}{𠃑}{丶}
4E14	且	{且}
4E15	丕	{不}{一}
4E16	世	{世}
4E17	丗	{卅}{一}
4E18	丘	{亻}{工}
4E19	丙	{一}{冂}{人}
4E1A	业	{〢}{䒑}
4E1B	丛	{人}{人}{一}
4E1C	东	{七}{小}
4E1D	丝	{𠃋}{𠃋}{𠃋}{𠃋}{一}
4E1E	丞	{乛}{水}{一}
4E1F	丟	{王}{厶}
4E20	丠	{㇯北匕}{匕}{一}
4E21	両	{一}{巾}{凵}
4E22	丢	{𡈼}{厶}
4E23	丣	{丌}{匚}{コ}
4E24	两	{一}{冂}{人}{人}
4E25	严	{丌}{䒑}{丿}
4E26	並	{䒑}{〢}{䒑}
4E27	丧	{十}{䒑}{𠄌}{㇯飞⺄}
4E28	丨	{丨}
4E29	丩	{丩}
4E2A	个	{人}{丨}
4E2B	丫	{丷}{丨}
4E2C	丬	{丬}
4E2D	中	{口}{丨}
4E2E	丮	{⺄}{𰀁}
4E2F	丯	{彡}{丨}
4E30	丰	{丰}
4E31	丱	{𠂈}{⿾丩}
4E32	串	{口}{口}{丨}
4E33	丳	{口}{口}{⿰丿丨}
4E34	临	{〢}{⿱𠂉丶}{𫩏}
4E35	丵	{〢}{䒑}{䒑}{十}
4E36	丶	{丶}
4E37	丷	{丷}
4E38	丸	{九}{丶}
4E39	丹	{⺆}{亠}
4E3A	为	{⺀}{力}
4E3B	主	{亠}{土}
4E3C	丼	{井}{丶}
4E3D	丽	{一}{冂}{丶}{冂}{丶}
4E3E	举	{𭕄}{一}{八}{𰀁}
